accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Borrowing,True,Financial Institution,Origination GC,Maria Garcia,2020-04-18,GB,738735,327713,949049,646623,High strategic importance.,Kunal Mehta,2025-07-18,Liquidity provider,US,Auto disqualified,2847,Prospect_2847,User Referral,Lead,Gold,Subsidiary,Onboarding In Progress,38807.44,81965.67,11230.57,CASE100016,,Business Acceptance,Low,INDIA,Closed,2024-02-07,2025-05-20,2024-01-02,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Non-Borrowing,True,Middle Market,Middle Markets,Amit Singh,2022-03-25,HK,204384,893031,183555,950757,Strong revenue potential.,Kunal Mehta,2022-04-05,Co-Borrower / Guarantor,AU,Client decision,1135,Prospect_1135,Self,Qualified,Platinum,Group,Qualify,50616.46,84922.08,89639.84,CASE100017,,Complete,Low,HONG KONG,Closed,2024-11-02,2020-02-18,2020-03-19,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Middle Market,Fintech - Other,Maria Garcia,2024-09-14,US,763106,784806,587111,608555,Client meets all KYC requirements.,Lisa Wong,2025-02-13,Transaction participation counterparty / SPV,SG,Auto disqualified,300,Prospect_300,User Referral,Lead,Gold,Group,Draft,90407.9,20989.41,96812.87,CASE100018,,Business Acceptance,Low,INDIA,Open,2024-02-16,2025-11-27,2025-10-12,Client classified as low risk after initial screening.,Refresh KYC,New Business,True
Non-Borrowing,False,Middle Market,Hedge Funds,John Mathews,2022-06-21,SG,975686,757701,174696,216865,Client meets all KYC requirements.,Sarah Lee,2025-12-18,Co-Borrower / Guarantor,GB,Auto disqualified,2979,Prospect_2979,Self,Disqualified,Gold,Standalone,Qualify,5203.71,110268.57,140146.49,CASE100019,,Validation,High,HONG KONG,Open,2025-03-10,2023-12-17,2024-01-18,Client classified as low risk after initial screening.,New Business,New Business,True
Borrowing,True,Local Corporate,Local Corporates,Maria Garcia,2025-01-13,GB,470941,941903,858160,340544,Strong revenue potential.,Maria Garcia,2025-02-26,None,US,Auto disqualified,768,Prospect_768,User Referral,Gold,Portfolio,Group,Draft,13436.36,99948.8,110107.7,CASE100020,,Validation,Low,SINGAPORE,Closed,2023-04-26,2024-12-05,2021-08-29,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Non-Borrowing,False,Financial Institution,Hedge Funds,Maria Garcia,2023-02-13,HK,124316,407156,133719,796974,Client meets all KYC requirements.,Priya Nair,2020-07-02,None,DE,Client decision,4,Prospect_4,User Referral,Gold,Gold,Standalone,Qualify,77198.36,22562.34,180685.2,CASE100021,,Complete,Low,HONG KONG,Open,2023-12-18,2025-10-27,2024-10-13,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,False
Borrowing,True,Global Corporate,Local Corporates,Amit Singh,2020-01-27,AU,419221,617226,148647,903664,Strong revenue potential.,Lisa Wong,2024-05-09,Co-Borrower / Guarantor,US,Client decision,716,Prospect_716,User Referral,Disqualified,Platinum,Subsidiary,Onboarding In Progress,99610.97,26931.08,70220.23,CASE100022,,Validation,Low,SINGAPORE,Open,2025-07-19,2022-04-20,2020-12-01,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Non-Borrowing,True,Middle Market,Local Corporates,Kunal Mehta,2021-10-15,IN,527578,291997,826975,607230,High strategic importance.,Rohit Sharma,2020-02-06,Co-Borrower / Guarantor,HK,Client decision,1383,Prospect_1383,Self,Lead,Gold,Standalone,Qualify,77631.38,129494.64,44385.52,CASE100023,,Business Acceptance,Low,INDIA,Closed,2023-10-27,2025-05-18,2020-07-12,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Local Corporate,Finance Companies,Emily Davis,2024-09-27,AU,509550,740226,868964,108669,Existing group relationship.,Sarah Lee,2023-10-11,Co-Borrower / Guarantor,GB,Client decision,2128,Prospect_2128,Self,Lead,Platinum,Group,Converted,77765.2,92805.05,13618.94,CASE100024,,Complete,Low,SINGAPORE,Closed,2023-11-06,2021-11-25,2024-09-19,Client classified as low risk after initial screening.,New Business,New Business,False
Non-Borrowing,True,Middle Market,Local Corporates,Sarah Lee,2023-10-25,DE,832453,389361,155217,458010,Strong revenue potential.,Lisa Wong,2023-05-14,Co-Borrower / Guarantor,HK,Client decision,2070,Prospect_2070,User Referral,Lead,Portfolio,Standalone,Qualify,53001.04,22855.53,77363.46,CASE100025,,Complete,Medium,HONG KONG,Open,2024-02-28,2021-05-22,2025-10-01,Pending additional KYC documentation from client.,Refresh KYC,New Business,False
Non-Borrowing,True,Global Corporate,Financial Sponsors - Portfolio Companies,Sarah Lee,2023-02-12,SG,915312,712680,933147,133829,High strategic importance.,Amit Singh,2020-12-02,Liquidity provider,SG,Client decision,209,Prospect_209,Self,Portfolio,Platinum,Subsidiary,Draft,34444.17,32351.71,10324.13,CASE100026,,Validation,High,SINGAPORE,Open,2024-02-15,2022-07-11,2024-08-05,Onboarding delayed due to missing tax documents.,New Business,New Business,False
Non-Borrowing,True,Financial Institution,Hedge Funds,David Chen,2021-09-28,IN,502889,631696,249430,330351,Client meets all KYC requirements.,Kunal Mehta,2024-10-07,Liquidity provider,AU,Client decision,186,Prospect_186,User Referral,Lead,Portfolio,Standalone,Draft,14145.95,70287.85,96533.83,CASE100027,,Validation,Low,SINGAPORE,Open,2020-04-14,2021-04-02,2024-03-05,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Global Corporate,Local Corporates,Lisa Wong,2022-05-31,IN,825275,397985,626170,672713,Existing group relationship.,Kunal Mehta,2025-05-20,Liquidity provider,IN,Auto disqualified,1684,Prospect_1684,User Referral,Lead,Portfolio,Subsidiary,Draft,18223.57,135182.05,178859.31,CASE100028,,Complete,Low,SINGAPORE,Open,2023-11-04,2024-10-03,2023-11-18,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Financial Institution,FI - Financial Sponsors,Sarah Lee,2023-10-10,AU,603386,514970,885919,636428,Strong revenue potential.,Kunal Mehta,2022-11-22,Liquidity provider,HK,Auto disqualified,1311,Prospect_1311,User Referral,Portfolio,Portfolio,Group,Qualify,44337.98,75714.63,107412.83,CASE100029,,Validation,Medium,SINGAPORE,Open,2023-08-20,2022-01-31,2022-05-06,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Non-Borrowing,False,Financial Institution,FI - Financial Sponsors,Amit Singh,2021-02-22,HK,541829,880329,932004,668144,High strategic importance.,David Chen,2024-05-10,None,SG,Auto disqualified,325,Prospect_325,User Referral,Disqualified,Portfolio,Subsidiary,Draft,96360.43,27148.7,131169.07,CASE100030,,Complete,High,INDIA,Closed,2022-09-10,2021-07-29,2021-07-10,"Compliance review in progress, awaiting approvals.",New Business,New Business,True
Borrowing,True,Financial Institution,FI - Financial Sponsors,Sarah Lee,2021-01-14,AU,525937,793673,229870,892315,High strategic importance.,John Mathews,2022-09-30,Co-Borrower / Guarantor,GB,Auto disqualified,2782,Prospect_2782,User Referral,Converted,Gold,Standalone,Qualify,60721.03,127177.59,175969.51,CASE100031,LE202783,Business Acceptance,Low,INDIA,Closed,2024-05-03,2024-03-19,2024-04-27,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,False
Borrowing,False,Middle Market,Middle Markets,David Chen,2024-04-05,US,660238,747248,950331,936102,Client meets all KYC requirements.,Maria Garcia,2020-06-15,Liquidity provider,IN,Client decision,182,Prospect_182,User Referral,Silver,Platinum,Standalone,Draft,86620.71,62607.54,26883.55,CASE100032,,Business Acceptance,Low,INDIA,Open,2021-07-02,2020-08-09,2022-11-09,Client onboarding completed successfully.,New Business,New Business,False
Non-Borrowing,True,Global Corporate,Fintech - Other,Lisa Wong,2021-01-31,HK,361871,209031,263460,668887,Strong revenue potential.,Lisa Wong,2020-07-26,Liquidity provider,SG,Client decision,758,Prospect_758,User Referral,Disqualified,Gold,Standalone,Converted,24440.57,104246.24,110231.11,CASE100033,,Business Acceptance,Medium,INDIA,Open,2020-12-05,2025-10-13,2025-07-26,Client onboarding completed successfully.,New Business,New Business,True
Non-Borrowing,False,Middle Market,Hedge Funds,Rohit Sharma,2024-01-10,HK,645117,297523,121845,725540,Client meets all KYC requirements.,Amit Singh,2020-04-04,Transaction participation counterparty / SPV,HK,Client decision,254,Prospect_254,User Referral,Lead,Portfolio,Group,Draft,39273.67,20171.96,72089.2,CASE100034,,Complete,High,SINGAPORE,Open,2024-12-19,2020-01-27,2023-01-15,Onboarding delayed due to missing tax documents.,New Business,New Business,False
Non-Borrowing,True,Global Corporate,Local Corporates,David Chen,2023-11-09,SG,457708,444325,417579,785223,Existing group relationship.,Lisa Wong,2025-10-10,Transaction participation counterparty / SPV,SG,Auto disqualified,430,Prospect_430,Self,Converted,Gold,Standalone,Onboarding In Progress,73138.36,114801.73,117142.37,CASE100035,LE200431,Complete,High,SINGAPORE,Closed,2021-04-14,2022-05-06,2021-03-15,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,False
Borrowing,True,Local Corporate,Fintech - Other,Amit Singh,2022-12-19,DE,684783,531498,203401,288220,Existing group relationship.,Emily Davis,2023-02-09,Co-Borrower / Guarantor,SG,Auto disqualified,2446,Prospect_2446,Self,Converted,Portfolio,Group,Onboarding In Progress,6837.26,137763.15,25918.66,CASE100036,LE202447,Complete,High,INDIA,Closed,2023-05-15,2025-01-02,2022-11-29,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,True
Non-Borrowing,True,Local Corporate,Global Subsidiaries GC,Rohit Sharma,2020-06-26,DE,869409,934244,434087,644474,Strong revenue potential.,Lisa Wong,2022-06-16,Liquidity provider,DE,Auto disqualified,977,Prospect_977,Self,Gold,Portfolio,Group,Qualify,27557.14,123451.44,71884.01,CASE100037,,Validation,Low,SINGAPORE,Open,2025-10-06,2020-10-03,2020-09-19,Client onboarding completed successfully.,New Business,New Business,True
Borrowing,False,Global Corporate,Financial Sponsors - Portfolio Companies,Maria Garcia,2025-02-24,HK,435251,752617,624090,157408,Strong revenue potential.,Priya Nair,2022-10-17,Liquidity provider,DE,Auto disqualified,1902,Prospect_1902,Self,Gold,Platinum,Standalone,Onboarding In Progress,56442.43,4610.6,141048.95,CASE100038,,Business Acceptance,Low,HONG KONG,Closed,2024-02-02,2024-03-05,2022-01-09,Onboarding delayed due to missing tax documents.,New Business,New Business,True
Borrowing,False,Global Corporate,Global Subsidiaries GC,Rohit Sharma,2021-05-26,SG,783723,419446,596064,988768,High strategic importance.,Sarah Lee,2024-11-14,None,IN,Auto disqualified,132,Prospect_132,Self,Silver,Gold,Group,Qualify,69957.78,88106.36,114423.14,CASE100039,,Validation,High,INDIA,Open,2023-03-18,2021-03-13,2023-01-19,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Borrowing,False,Global Corporate,Origination GC,Sarah Lee,2024-03-30,GB,671356,594560,271234,554236,High strategic importance.,Priya Nair,2021-05-01,Liquidity provider,US,Auto disqualified,490,Prospect_490,Self,Qualified,Portfolio,Subsidiary,Draft,43583.11,86672.95,148621.83,CASE100040,,Complete,Medium,INDIA,Closed,2020-10-31,2022-08-07,2020-02-27,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,True
Borrowing,False,Global Corporate,Fintech - Other,David Chen,2020-11-18,SG,798093,170439,889563,109044,Client meets all KYC requirements.,Amit Singh,2021-01-31,Co-Borrower / Guarantor,SG,Auto disqualified,2627,Prospect_2627,Self,Gold,Platinum,Subsidiary,Converted,86654.52,122415.03,89495.24,CASE100041,,Complete,Low,HONG KONG,Open,2022-07-07,2020-11-01,2022-11-30,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Borrowing,True,Financial Institution,Finance Companies,Emily Davis,2023-04-15,DE,707559,932035,701167,522057,Existing group relationship.,Lisa Wong,2022-09-27,Transaction participation counterparty / SPV,IN,Client decision,2932,Prospect_2932,User Referral,Qualified,Platinum,Group,Converted,58439.48,149167.0,33857.08,CASE100042,,Complete,Low,HONG KONG,Open,2023-11-14,2025-01-13,2022-03-11,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Non-Borrowing,True,Middle Market,Local Corporates,Rohit Sharma,2024-01-21,HK,584645,413958,252630,362050,Existing group relationship.,Lisa Wong,2024-12-30,Transaction participation counterparty / SPV,AU,Client decision,295,Prospect_295,User Referral,Gold,Portfolio,Subsidiary,Converted,65124.56,139781.83,45984.59,CASE100043,,Complete,High,INDIA,Open,2021-10-19,2023-05-20,2024-11-20,Enhanced due diligence recommended based on risk factors.,New Business,New Business,False
Non-Borrowing,True,Financial Institution,Middle Markets,Maria Garcia,2022-02-26,GB,892045,340562,792223,866689,Client meets all KYC requirements.,Emily Davis,2020-12-03,Liquidity provider,AU,Auto disqualified,1763,Prospect_1763,Self,Qualified,Platinum,Subsidiary,Onboarding In Progress,27059.31,15372.64,153762.66,CASE100044,,Validation,Medium,INDIA,Open,2023-07-05,2023-01-10,2025-11-01,Client classified as low risk after initial screening.,New Business,New Business,False
Non-Borrowing,False,Middle Market,Hedge Funds,Maria Garcia,2020-10-11,GB,257678,794369,733437,753542,Strong revenue potential.,Maria Garcia,2021-01-28,None,IN,Auto disqualified,1869,Prospect_1869,User Referral,Qualified,Platinum,Subsidiary,Onboarding In Progress,32784.02,114112.94,70314.15,CASE100045,,Business Acceptance,Low,INDIA,Open,2021-06-20,2022-10-06,2023-03-07,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Non-Borrowing,True,Middle Market,Local Corporates,Amit Singh,2020-07-06,US,509811,613168,929866,207457,Existing group relationship.,Amit Singh,2025-11-13,None,GB,Auto disqualified,2340,Prospect_2340,User Referral,Disqualified,Gold,Standalone,Draft,4048.85,139205.31,81503.1,CASE100046,,Business Acceptance,High,INDIA,Open,2024-02-12,2020-01-13,2025-10-09,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Non-Borrowing,False,Middle Market,Hedge Funds,Amit Singh,2022-07-22,AU,494490,844217,537800,701368,Client meets all KYC requirements.,Amit Singh,2020-12-14,Co-Borrower / Guarantor,GB,Auto disqualified,1316,Prospect_1316,User Referral,Portfolio,Platinum,Subsidiary,Onboarding In Progress,7502.85,61131.03,166437.89,CASE100047,,Complete,Medium,SINGAPORE,Open,2021-08-10,2022-03-19,2022-05-11,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,True
Borrowing,False,Financial Institution,Finance Companies,Rohit Sharma,2023-03-31,HK,661318,659028,878761,976549,Client meets all KYC requirements.,Sarah Lee,2023-07-27,None,US,Auto disqualified,2159,Prospect_2159,User Referral,Disqualified,Gold,Subsidiary,Onboarding In Progress,96371.89,139436.7,43750.93,CASE100048,,Business Acceptance,High,INDIA,Closed,2020-09-09,2024-12-24,2023-07-27,"Compliance review in progress, awaiting approvals.",New Business,New Business,True
Non-Borrowing,False,Global Corporate,Local Corporates,John Mathews,2020-11-22,IN,980158,281551,907137,989095,Existing group relationship.,Rohit Sharma,2021-01-13,Liquidity provider,HK,Client decision,1018,Prospect_1018,User Referral,Lead,Gold,Subsidiary,Qualify,55053.99,135628.62,162841.0,CASE100049,,Business Acceptance,Medium,INDIA,Closed,2025-01-30,2023-02-13,2024-05-07,Client classified as low risk after initial screening.,Refresh KYC,New Business,True
Non-Borrowing,False,Financial Institution,Financial Sponsors - Portfolio Companies,Maria Garcia,2022-08-11,AU,941551,383418,565011,621122,High strategic importance.,Sarah Lee,2024-02-21,Co-Borrower / Guarantor,SG,Client decision,500,Prospect_500,User Referral,Converted,Portfolio,Subsidiary,Qualify,12169.24,96034.18,23725.9,CASE100050,LE200501,Business Acceptance,Medium,INDIA,Closed,2025-12-09,2024-11-27,2020-07-24,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,False
Borrowing,False,Financial Institution,Origination GC,David Chen,2021-02-17,HK,709942,783821,211562,153300,Strong revenue potential.,John Mathews,2022-11-27,Liquidity provider,SG,Auto disqualified,1312,Prospect_1312,Self,Disqualified,Portfolio,Subsidiary,Onboarding In Progress,31138.29,136126.43,29158.79,CASE100051,,Validation,Medium,HONG KONG,Open,2025-08-12,2022-08-05,2020-01-30,Client onboarding completed successfully.,New Business,New Business,True
Non-Borrowing,True,Middle Market,FI - Financial Sponsors,John Mathews,2024-04-05,IN,748353,467170,170995,929458,Existing group relationship.,Kunal Mehta,2023-09-12,Co-Borrower / Guarantor,IN,Auto disqualified,2796,Prospect_2796,Self,Portfolio,Platinum,Group,Qualify,63429.46,110974.66,71103.63,CASE100052,,Validation,High,HONG KONG,Open,2021-11-02,2021-05-20,2020-01-22,Client classified as low risk after initial screening.,New Business,New Business,False
Borrowing,False,Local Corporate,Finance Companies,Maria Garcia,2023-02-12,AU,435455,949274,924426,511912,High strategic importance.,Amit Singh,2025-08-15,None,IN,Auto disqualified,1230,Prospect_1230,Self,Gold,Platinum,Group,Converted,85838.35,93964.3,164012.14,CASE100053,,Complete,High,SINGAPORE,Open,2020-10-31,2021-01-27,2020-10-02,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,False
Non-Borrowing,False,Local Corporate,Origination GC,John Mathews,2025-01-31,DE,459696,844594,973990,312128,Client meets all KYC requirements.,Kunal Mehta,2021-08-02,None,IN,Client decision,2468,Prospect_2468,Self,Portfolio,Gold,Standalone,Draft,6580.77,46880.81,144889.37,CASE100054,,Complete,High,SINGAPORE,Open,2024-06-03,2022-07-03,2021-09-28,Onboarding delayed due to missing tax documents.,New Business,New Business,True
Borrowing,True,Financial Institution,Local Corporates,Emily Davis,2024-02-03,US,918711,895463,680116,430533,Strong revenue potential.,Maria Garcia,2023-06-19,Liquidity provider,AU,Auto disqualified,1699,Prospect_1699,Self,Disqualified,Portfolio,Subsidiary,Qualify,45391.24,83754.98,152820.27,CASE100055,,Complete,Medium,SINGAPORE,Open,2023-07-07,2022-05-05,2020-02-01,"High potential client, fast-track onboarding recommended.",New Business,New Business,False
Non-Borrowing,False,Middle Market,Origination GC,Rohit Sharma,2021-10-28,HK,154690,336624,548842,794431,Client meets all KYC requirements.,Kunal Mehta,2021-09-06,Transaction participation counterparty / SPV,GB,Client decision,1382,Prospect_1382,User Referral,Silver,Gold,Standalone,Draft,6856.19,102067.31,37644.18,CASE100056,,Validation,Low,SINGAPORE,Open,2021-01-29,2024-12-29,2025-10-04,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,False
Non-Borrowing,False,Financial Institution,Middle Markets,Kunal Mehta,2024-02-25,AU,310549,931228,636676,156342,Client meets all KYC requirements.,Lisa Wong,2020-03-15,None,AU,Client decision,128,Prospect_128,Self,Disqualified,Portfolio,Subsidiary,Converted,46215.89,78157.74,195380.62,CASE100057,,Business Acceptance,High,HONG KONG,Open,2020-10-01,2020-09-07,2025-06-22,Client onboarding completed successfully.,New Business,Refresh KYC,False
Borrowing,True,Financial Institution,Origination GC,David Chen,2023-12-26,US,481334,193425,932726,770881,Existing group relationship.,Emily Davis,2022-02-13,Transaction participation counterparty / SPV,AU,Client decision,1327,Prospect_1327,User Referral,Qualified,Portfolio,Subsidiary,Onboarding In Progress,72203.06,75199.85,19081.68,CASE100058,,Business Acceptance,Low,SINGAPORE,Open,2022-01-27,2022-10-21,2021-03-08,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
