accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Borrowing,FALSE,Global Corporate,Financial Sponsors - Portfolio Companies,Emily Davis,03-09-2020,SG,649990,994727,983624,402473,Strong revenue potential.,John Mathews,30-06-2023,Co-Borrower / Guarantor,GB,Client decision,3,Prospect_3,User Referral,Gold,Portfolio,Standalone,Draft,4311.71,76386.97,69354.48,CASE105002,,Validation,Medium,INDIA,Closed,02-06-2022,28-03-2023,19-10-2020,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,TRUE
Non-Borrowing,FALSE,Financial Institution,Hedge Funds,Maria Garcia,13-02-2023,HK,124316,407156,133719,796974,Client meets all KYC requirements.,Priya Nair,02-07-2020,None,DE,Client decision,4,Prospect_4,User Referral,Gold,Gold,Standalone,Qualify,77198.36,22562.34,180685.2,CASE100021,,Complete,Low,HONG KONG,Open,18-12-2023,27-10-2025,13-10-2024,"Compliance review in progress, awaiting approvals.",Refresh KYC,New Business,FALSE
Non-Borrowing,FALSE,Global Corporate,FI - Financial Sponsors,Sarah Lee,14-05-2020,AU,757337,345631,701749,402952,Existing group relationship.,John Mathews,29-11-2025,None,IN,Auto disqualified,4,Prospect_4,Self,Portfolio,Gold,Subsidiary,Qualify,718.69,33108.07,164155.71,CASE101036,,Complete,Low,SINGAPORE,Closed,17-12-2024,12-09-2020,26-02-2022,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,TRUE
Borrowing,TRUE,Financial Institution,Middle Markets,Lisa Wong,25-01-2025,HK,266786,389974,617041,104799,Existing group relationship.,Lisa Wong,04-06-2021,Liquidity provider,IN,Auto disqualified,4,Prospect_4,User Referral,Converted,Portfolio,Standalone,Qualify,20892.53,144781.22,173218.67,CASE101631,LE200005,Complete,High,SINGAPORE,Open,19-06-2021,08-10-2021,06-02-2025,Client classified as low risk after initial screening.,Refresh KYC,New Business,FALSE
Non-Borrowing,FALSE,Middle Market,Global Subsidiaries GC,Maria Garcia,26-02-2020,AU,856742,360084,698648,404434,Strong revenue potential.,Sarah Lee,30-05-2020,Transaction participation counterparty / SPV,DE,Client decision,4,Prospect_4,User Referral,Disqualified,Platinum,Standalone,Onboarding In Progress,42133.9,119589.11,128838.94,CASE102791,,Validation,High,SINGAPORE,Open,20-09-2023,02-01-2023,28-10-2025,Pending additional KYC documentation from client.,New Business,New Business,TRUE
Non-Borrowing,FALSE,Local Corporate,Finance Companies,Priya Nair,19-03-2023,US,947017,808577,195419,121131,Strong revenue potential.,David Chen,24-08-2021,Co-Borrower / Guarantor,GB,Auto disqualified,4,Prospect_4,User Referral,Portfolio,Platinum,Group,Qualify,66649.98,27005.15,17093.15,CASE102798,,Complete,Medium,INDIA,Closed,18-09-2022,25-02-2024,18-09-2024,Enhanced due diligence recommended based on risk factors.,New Business,New Business,FALSE
Borrowing,FALSE,Local Corporate,Finance Companies,John Mathews,07-07-2021,DE,838343,484501,866472,405846,Client meets all KYC requirements.,Emily Davis,13-02-2022,Liquidity provider,IN,Client decision,4,Prospect_4,Self,Gold,Gold,Group,Draft,29171.26,77779.17,24182.26,CASE104864,,Validation,Medium,HONG KONG,Open,29-02-2020,11-06-2020,19-11-2024,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,TRUE
Borrowing,TRUE,Financial Institution,Financial Sponsors - Portfolio Companies,Kunal Mehta,25-06-2024,HK,483356,948823,318814,806044,Client meets all KYC requirements.,Kunal Mehta,11-04-2020,Co-Borrower / Guarantor,HK,Client decision,4,Prospect_4,Self,Portfolio,Gold,Group,Onboarding In Progress,592.62,8006.39,157817.29,CASE104888,,Business Acceptance,Low,HONG KONG,Open,07-10-2022,05-12-2024,21-07-2024,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,FALSE
Borrowing,FALSE,Financial Institution,Local Corporates,Kunal Mehta,16-10-2024,IN,374291,147669,801088,891915,Existing group relationship.,Emily Davis,19-11-2022,Liquidity provider,GB,Auto disqualified,4,Prospect_4,User Referral,Lead,Portfolio,Standalone,Onboarding In Progress,14212.1,120547.27,143450.41,CASE109416,,Business Acceptance,High,HONG KONG,Open,01-08-2020,12-09-2020,19-06-2025,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,FALSE
Borrowing,FALSE,Local Corporate,Finance Companies,Emily Davis,14-07-2021,DE,807944,415250,942220,440521,Existing group relationship.,Priya Nair,05-01-2023,Liquidity provider,GB,Client decision,5,Prospect_5,User Referral,Lead,Platinum,Subsidiary,Qualify,23259.17,110972.82,19683.69,CASE100965,,Validation,Low,HONG KONG,Closed,31-01-2022,13-02-2025,26-05-2024,Client onboarding completed successfully.,Refresh KYC,New Business,FALSE
Non-Borrowing,TRUE,Local Corporate,FI - Financial Sponsors,Emily Davis,03-07-2024,IN,165657,134620,680460,556503,Client meets all KYC requirements.,Rohit Sharma,23-02-2024,Co-Borrower / Guarantor,SG,Client decision,5,Prospect_5,User Referral,Disqualified,Portfolio,Standalone,Onboarding In Progress,86251.12,87487.02,135385.04,CASE103318,,Complete,Low,SINGAPORE,Open,16-10-2023,23-09-2022,18-01-2022,Client classified as low risk after initial screening.,New Business,New Business,TRUE
Non-Borrowing,FALSE,Global Corporate,Origination GC,Kunal Mehta,20-02-2020,SG,506304,913188,620097,340005,High strategic importance.,Rohit Sharma,12-02-2025,Liquidity provider,DE,Auto disqualified,5,Prospect_5,Self,Disqualified,Portfolio,Group,Converted,93445.23,124672.52,145401.25,CASE108472,,Complete,Medium,INDIA,Open,17-09-2025,21-01-2022,26-08-2022,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,FALSE
Borrowing,FALSE,Local Corporate,FI - Financial Sponsors,Sarah Lee,16-11-2024,GB,506468,520631,865088,704414,Existing group relationship.,John Mathews,15-02-2022,Co-Borrower / Guarantor,IN,Auto disqualified,5,Prospect_5,User Referral,Gold,Portfolio,Standalone,Converted,22819.95,12869.28,31799.4,CASE108624,,Business Acceptance,High,HONG KONG,Open,18-06-2021,07-06-2025,03-08-2023,Client onboarding completed successfully.,Refresh KYC,New Business,FALSE
Non-Borrowing,FALSE,Middle Market,Origination GC,Rohit Sharma,20-09-2024,DE,779031,644654,334037,918258,High strategic importance.,Sarah Lee,30-04-2022,Liquidity provider,IN,Client decision,6,Prospect_6,User Referral,Silver,Portfolio,Subsidiary,Converted,27427.92,55369.42,45073.64,CASE102386,,Business Acceptance,Medium,INDIA,Closed,22-11-2021,30-05-2025,15-07-2022,"High potential client, fast-track onboarding recommended.",New Business,New Business,FALSE
Borrowing,FALSE,Global Corporate,Origination GC,Priya Nair,04-10-2023,SG,946469,851653,340462,528328,Existing group relationship.,Lisa Wong,16-09-2025,Transaction participation counterparty / SPV,IN,Auto disqualified,6,Prospect_6,Self,Silver,Portfolio,Subsidiary,Qualify,25882.68,71920.86,100539.89,CASE102917,,Validation,High,INDIA,Open,08-04-2024,05-12-2024,17-08-2025,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,FALSE
Borrowing,FALSE,Financial Institution,FI - Financial Sponsors,Sarah Lee,27-06-2025,HK,749584,607349,936731,899243,Existing group relationship.,John Mathews,09-06-2025,Transaction participation counterparty / SPV,GB,Auto disqualified,6,Prospect_6,User Referral,Disqualified,Platinum,Group,Converted,72113.9,78337.58,116604.27,CASE106551,,Complete,Medium,INDIA,Open,17-10-2021,15-05-2020,23-04-2023,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,FALSE
Non-Borrowing,FALSE,Local Corporate,Origination GC,Kunal Mehta,02-12-2022,HK,349510,877786,848641,673173,Strong revenue potential.,Lisa Wong,06-09-2020,Transaction participation counterparty / SPV,SG,Auto disqualified,6,Prospect_6,Self,Lead,Platinum,Group,Converted,54568.64,114239.82,178424.88,CASE109896,,Business Acceptance,High,HONG KONG,Open,29-01-2022,19-09-2021,17-01-2023,Client onboarding completed successfully.,New Business,Refresh KYC,TRUE
Non-Borrowing,TRUE,Financial Institution,Global Subsidiaries GC,Amit Singh,27-12-2020,GB,525173,790415,669034,242276,Existing group relationship.,Rohit Sharma,08-04-2020,Co-Borrower / Guarantor,DE,Auto disqualified,7,Prospect_7,Self,Gold,Portfolio,Subsidiary,Qualify,58094.44,141839.66,136670.49,CASE104290,,Complete,High,HONG KONG,Open,15-10-2022,27-05-2024,26-03-2021,Pending additional KYC documentation from client.,New Business,New Business,FALSE
Borrowing,FALSE,Local Corporate,Fintech - Other,David Chen,14-03-2020,DE,485753,270600,530973,603448,Client meets all KYC requirements.,Amit Singh,01-03-2020,Transaction participation counterparty / SPV,IN,Auto disqualified,7,Prospect_7,User Referral,Portfolio,Gold,Subsidiary,Converted,33874.36,149858.76,102236.7,CASE108224,,Complete,Medium,SINGAPORE,Open,24-02-2023,20-03-2024,01-02-2025,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,TRUE
Non-Borrowing,FALSE,Global Corporate,FI - Financial Sponsors,Emily Davis,01-03-2024,SG,233642,297348,224111,869151,High strategic importance.,Emily Davis,08-11-2020,Liquidity provider,IN,Auto disqualified,8,Prospect_8,Self,Converted,Platinum,Standalone,Onboarding In Progress,48656.1,27331.23,146253.53,CASE107477,LE200009,Business Acceptance,Low,INDIA,Closed,20-01-2021,09-05-2021,25-08-2021,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,TRUE
Borrowing,FALSE,Local Corporate,Finance Companies,Rohit Sharma,24-10-2024,GB,831067,464045,916461,746250,Strong revenue potential.,Lisa Wong,30-06-2022,None,IN,Client decision,9,Prospect_9,Self,Gold,Portfolio,Standalone,Onboarding In Progress,58689.89,128454.81,183522.71,CASE102844,,Business Acceptance,High,HONG KONG,Closed,10-02-2022,01-11-2024,21-01-2022,Enhanced due diligence recommended based on risk factors.,New Business,New Business,FALSE
Borrowing,FALSE,Local Corporate,Middle Markets,Kunal Mehta,26-09-2024,GB,301800,569411,241818,533600,High strategic importance.,John Mathews,20-07-2020,Transaction participation counterparty / SPV,GB,Auto disqualified,9,Prospect_9,Self,Disqualified,Portfolio,Subsidiary,Draft,82846.6,97042.74,140092.75,CASE106643,,Business Acceptance,Medium,SINGAPORE,Closed,16-02-2020,05-03-2021,04-11-2022,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,FALSE
Borrowing,FALSE,Local Corporate,Origination GC,David Chen,30-10-2023,DE,649734,610075,994040,357404,Existing group relationship.,John Mathews,11-03-2024,Transaction participation counterparty / SPV,IN,Client decision,9,Prospect_9,User Referral,Disqualified,Platinum,Subsidiary,Draft,14444.35,100436.1,75048.07,CASE109601,,Business Acceptance,Low,SINGAPORE,Closed,17-11-2021,03-06-2023,10-08-2024,Onboarding delayed due to missing tax documents.,New Business,New Business,FALSE
Borrowing,TRUE,Global Corporate,Finance Companies,Emily Davis,14-09-2023,AU,344397,240104,669967,220526,Strong revenue potential.,Lisa Wong,29-09-2024,Co-Borrower / Guarantor,HK,Auto disqualified,10,Prospect_10,Self,Portfolio,Platinum,Standalone,Qualify,82703.18,118703.92,88956.09,CASE102152,,Validation,Medium,SINGAPORE,Closed,13-06-2021,19-09-2021,17-06-2021,Client classified as low risk after initial screening.,New Business,Refresh KYC,TRUE
Borrowing,FALSE,Middle Market,Financial Sponsors - Portfolio Companies,Kunal Mehta,05-09-2022,DE,719074,636051,426780,952490,Strong revenue potential.,Maria Garcia,27-02-2022,Transaction participation counterparty / SPV,HK,Auto disqualified,10,Prospect_10,Self,Disqualified,Gold,Standalone,Draft,90979.99,135743.23,96444.1,CASE104093,,Business Acceptance,Medium,INDIA,Closed,02-11-2022,24-03-2024,30-10-2022,"Compliance review in progress, awaiting approvals.",New Business,New Business,TRUE
Non-Borrowing,TRUE,Global Corporate,FI - Financial Sponsors,Lisa Wong,06-01-2023,IN,281094,321141,443344,982141,High strategic importance.,Kunal Mehta,03-04-2023,None,DE,Auto disqualified,10,Prospect_10,Self,Gold,Platinum,Subsidiary,Qualify,86391.32,118224.41,46103.04,CASE104626,,Business Acceptance,High,INDIA,Open,18-05-2021,07-07-2023,02-09-2023,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,FALSE
Non-Borrowing,FALSE,Financial Institution,Global Subsidiaries GC,John Mathews,22-04-2022,SG,395293,932143,471650,541957,Client meets all KYC requirements.,David Chen,21-11-2020,Transaction participation counterparty / SPV,IN,Client decision,10,Prospect_10,User Referral,Portfolio,Gold,Subsidiary,Qualify,61899.37,109717.44,58498.74,CASE108136,,Complete,High,SINGAPORE,Closed,14-01-2024,25-07-2023,16-01-2020,Client onboarding completed successfully.,Refresh KYC,New Business,FALSE
Non-Borrowing,FALSE,Global Corporate,Global Subsidiaries GC,John Mathews,19-11-2021,AU,676870,387349,257868,646275,Client meets all KYC requirements.,Rohit Sharma,22-12-2024,Co-Borrower / Guarantor,IN,Client decision,11,Prospect_11,Self,Qualified,Platinum,Standalone,Qualify,47173.98,63327.44,72631.91,CASE107619,,Complete,High,INDIA,Closed,23-09-2022,28-06-2022,30-05-2021,Client onboarding completed successfully.,New Business,Refresh KYC,FALSE
Non-Borrowing,TRUE,Middle Market,Global Subsidiaries GC,David Chen,31-01-2025,IN,549005,907203,645754,303921,High strategic importance.,Priya Nair,16-10-2020,Co-Borrower / Guarantor,GB,Client decision,12,Prospect_12,User Referral,Converted,Platinum,Subsidiary,Converted,1336.04,58691.39,129610.07,CASE101716,LE200013,Validation,Low,HONG KONG,Open,14-12-2023,20-06-2023,23-12-2023,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,FALSE
Borrowing,FALSE,Middle Market,Financial Sponsors - Portfolio Companies,Sarah Lee,13-05-2024,AU,424692,188653,223239,612289,High strategic importance.,Amit Singh,13-07-2023,Liquidity provider,AU,Client decision,12,Prospect_12,User Referral,Disqualified,Platinum,Group,Converted,70161.94,141351.38,40819.52,CASE108292,,Business Acceptance,Low,HONG KONG,Open,15-04-2021,29-10-2025,28-09-2020,"Compliance review in progress, awaiting approvals.",New Business,Refresh KYC,TRUE
Borrowing,FALSE,Global Corporate,Fintech - Other,Kunal Mehta,18-10-2023,AU,538597,982714,779694,164893,High strategic importance.,Emily Davis,21-04-2023,None,AU,Auto disqualified,13,Prospect_13,Self,Portfolio,Gold,Standalone,Draft,17525.14,127672.22,63144.48,CASE100887,,Complete,Low,HONG KONG,Open,17-02-2020,03-12-2022,26-10-2025,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,TRUE
Borrowing,TRUE,Financial Institution,Fintech - Other,Kunal Mehta,13-08-2024,US,613277,753899,564968,924982,High strategic importance.,Kunal Mehta,15-07-2020,Liquidity provider,AU,Auto disqualified,13,Prospect_13,User Referral,Silver,Portfolio,Group,Converted,52161.38,80306.88,147404,CASE104496,,Complete,Medium,SINGAPORE,Open,03-05-2022,03-12-2025,21-11-2025,Pending additional KYC documentation from client.,Refresh KYC,New Business,TRUE
Non-Borrowing,FALSE,Local Corporate,Hedge Funds,Amit Singh,28-03-2025,AU,316452,991286,782942,799363,Client meets all KYC requirements.,Lisa Wong,10-05-2024,Transaction participation counterparty / SPV,AU,Auto disqualified,13,Prospect_13,Self,Silver,Portfolio,Subsidiary,Draft,62584.99,78571.58,168980.44,CASE108383,,Validation,Medium,HONG KONG,Open,03-05-2023,24-11-2024,29-03-2021,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,FALSE
Borrowing,FALSE,Middle Market,FI - Financial Sponsors,Lisa Wong,20-05-2021,AU,961159,629127,243583,872237,High strategic importance.,Kunal Mehta,24-01-2021,None,GB,Client decision,13,Prospect_13,User Referral,Disqualified,Platinum,Group,Draft,34097.61,55846.61,156031.12,CASE108896,,Complete,Medium,INDIA,Closed,07-10-2024,20-06-2025,22-05-2020,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,TRUE
Non-Borrowing,TRUE,Local Corporate,Financial Sponsors - Portfolio Companies,Sarah Lee,13-09-2024,HK,515386,919133,736511,500302,Strong revenue potential.,David Chen,13-09-2024,None,HK,Auto disqualified,14,Prospect_14,Self,Gold,Portfolio,Subsidiary,Draft,87129.26,20874.69,35744.22,CASE100258,,Validation,Medium,HONG KONG,Closed,02-10-2022,09-11-2022,29-10-2025,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,FALSE
Non-Borrowing,FALSE,Financial Institution,Origination GC,Priya Nair,05-11-2021,SG,268653,153137,139093,831022,Strong revenue potential.,David Chen,11-08-2022,Transaction participation counterparty / SPV,DE,Auto disqualified,14,Prospect_14,Self,Silver,Portfolio,Group,Draft,17955.53,64807.42,15567.68,CASE106152,,Validation,Medium,HONG KONG,Open,08-07-2021,10-08-2022,15-01-2024,"High potential client, fast-track onboarding recommended.",Refresh KYC,New Business,TRUE
Non-Borrowing,TRUE,Financial Institution,Local Corporates,Maria Garcia,17-02-2025,GB,732912,281781,547213,604209,Existing group relationship.,John Mathews,02-02-2023,Liquidity provider,GB,Client decision,15,Prospect_15,Self,Lead,Platinum,Subsidiary,Qualify,21308.68,136123.49,169410.15,CASE101529,,Business Acceptance,Medium,INDIA,Closed,19-10-2022,16-09-2024,31-10-2023,Client onboarding completed successfully.,New Business,Refresh KYC,FALSE
Non-Borrowing,TRUE,Middle Market,FI - Financial Sponsors,Rohit Sharma,18-05-2024,HK,265819,274805,622129,541509,Existing group relationship.,Amit Singh,23-09-2022,Transaction participation counterparty / SPV,GB,Client decision,15,Prospect_15,User Referral,Disqualified,Portfolio,Group,Onboarding In Progress,16991.82,19942.15,174458.17,CASE109859,,Validation,Low,HONG KONG,Closed,19-06-2024,19-06-2023,17-02-2020,Onboarding delayed due to missing tax documents.,New Business,New Business,FALSE
Non-Borrowing,TRUE,Financial Institution,FI - Financial Sponsors,Amit Singh,28-05-2024,HK,232210,585548,591256,741904,Client meets all KYC requirements.,Emily Davis,12-11-2020,Transaction participation counterparty / SPV,IN,Client decision,16,Prospect_16,Self,Converted,Portfolio,Group,Converted,70713.98,1390.75,155812.16,CASE103767,LE200017,Business Acceptance,Medium,HONG KONG,Open,11-06-2021,07-04-2025,06-10-2025,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,TRUE
Borrowing,FALSE,Global Corporate,FI - Financial Sponsors,Kunal Mehta,21-10-2021,HK,662927,590099,516478,910137,Strong revenue potential.,Emily Davis,26-01-2023,Transaction participation counterparty / SPV,HK,Auto disqualified,16,Prospect_16,User Referral,Gold,Gold,Subsidiary,Onboarding In Progress,96698.02,85014.47,174697.16,CASE103878,,Validation,Low,HONG KONG,Open,04-03-2020,18-08-2021,17-11-2022,Client classified as low risk after initial screening.,New Business,Refresh KYC,TRUE
Borrowing,FALSE,Global Corporate,Middle Markets,Emily Davis,06-03-2025,HK,728644,866098,244420,183818,Strong revenue potential.,Priya Nair,26-06-2020,Transaction participation counterparty / SPV,GB,Auto disqualified,16,Prospect_16,Self,Disqualified,Portfolio,Subsidiary,Draft,48159.45,24064.94,11524.83,CASE108200,,Business Acceptance,High,HONG KONG,Open,28-12-2024,05-04-2023,29-09-2022,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,TRUE
Non-Borrowing,TRUE,Financial Institution,Local Corporates,Amit Singh,27-11-2021,AU,563960,159482,272370,143011,Existing group relationship.,Priya Nair,02-03-2024,Co-Borrower / Guarantor,US,Client decision,17,Prospect_17,User Referral,Qualified,Portfolio,Standalone,Onboarding In Progress,4482.89,61501.71,88009.36,CASE100920,,Business Acceptance,High,INDIA,Open,26-02-2021,14-04-2024,12-07-2020,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,TRUE
Borrowing,TRUE,Financial Institution,Financial Sponsors - Portfolio Companies,Priya Nair,17-03-2020,SG,851184,825719,907598,472888,High strategic importance.,Sarah Lee,09-10-2025,None,HK,Auto disqualified,17,Prospect_17,User Referral,Disqualified,Portfolio,Group,Draft,25876.42,123082.48,192598.73,CASE104766,,Complete,Low,HONG KONG,Open,23-07-2023,26-06-2024,18-05-2021,Client onboarding completed successfully.,Refresh KYC,New Business,FALSE
Borrowing,FALSE,Local Corporate,Hedge Funds,Maria Garcia,28-06-2020,IN,633567,105243,680635,223097,High strategic importance.,Sarah Lee,06-06-2020,None,SG,Auto disqualified,17,Prospect_17,User Referral,Gold,Gold,Standalone,Qualify,74999.95,16991.28,158036.03,CASE108299,,Validation,High,HONG KONG,Closed,07-01-2022,02-08-2020,19-02-2020,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,FALSE
Borrowing,FALSE,Middle Market,Middle Markets,John Mathews,07-05-2021,US,807253,925571,692696,153638,Strong revenue potential.,Lisa Wong,28-05-2025,None,GB,Auto disqualified,17,Prospect_17,Self,Converted,Platinum,Subsidiary,Onboarding In Progress,41503.32,54160.93,32252.23,CASE109184,LE200018,Business Acceptance,Medium,HONG KONG,Closed,30-10-2023,10-02-2023,27-09-2021,Pending additional KYC documentation from client.,New Business,New Business,FALSE
